Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2001,2001,ha,127632,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2002,2002,ha,142916,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2003,2003,ha,144453,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2004,2004,ha,153947,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2005,2005,ha,161899,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2006,2006,ha,162375,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2007,2007,ha,162505,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2008,2008,ha,164711,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2009,2009,ha,162363,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2010,2010,ha,162932,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2011,2011,ha,168085,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2012,2012,ha,167864,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2013,2013,ha,168603,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2014,2014,ha,165376,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2015,2015,ha,169457,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2016,2016,ha,173577,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2017,2017,ha,176014,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2018,2018,ha,173977,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2019,2019,ha,172969,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2020,2020,ha,173549,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,809,"Abaca, manila hemp, raw",2021,2021,ha,174067,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1961,1961,ha,32100,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1962,1962,ha,32990,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1963,1963,ha,34110,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1964,1964,ha,33620,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1965,1965,ha,34320,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1966,1966,ha,35010,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1967,1967,ha,36140,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1968,1968,ha,36950,E,Estimated value,,,
QCL,Crops and livestock products,5000,World,5312,Area harvested,800,"Agave fibres, raw, n.e.c.",1969,1969,ha,36951,E,Estimated value,,,
